session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6244690968431ab3816fd364,5fbfe145e52a44000a9c2966,APPROVED,2022-03-30 14:29:41.502000,2022-03-30 15:24:48.073000,3306.571,32,218,1,100,2022-03-31 10:52:22.154000,29551DF4,Spain,Spain,Unemployed (and job seeking),Spanish,Spain,Male,No
624469096cba296ececb9713,571de12713b1b70012be47f6,APPROVED,2022-03-30 14:28:26.867000,2022-03-30 15:02:11.572000,2024.705,66,2453,10,100,2022-03-31 10:52:22.241000,29551DF4,India,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
6244690a6ba93bf9d7035c4a,60f5917414ac7d222d22db64,RETURNED,2022-03-30 14:28:31.022000,,77147.30372,24,339,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6244690aaceadbe1c4129451,5eecf46966da9e0e55e7baf0,RETURNED,2022-03-30 14:28:50.724000,,77127.614213,31,87,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6244690ac3647322e2ad1013,5aad68f74ea21d000101c20c,RETURNED,2022-03-30 14:28:28.679000,,77149.672824,28,1160,13,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6244690ad657b732f80fc950,6033e8a326522710a9902877,RETURNED,2022-03-30 14:28:26.065000,,77152.300001,21,99,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6244690af5825100ddee3137,5d1c9f75328d1c001af3af0f,APPROVED,2022-03-30 14:28:26.378000,2022-03-30 15:20:07.439000,3101.061,23,297,1,100,2022-03-31 10:52:22.323000,29551DF4,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,No
6244696805ec94d731ed7e57,5e822d17f956a29530ccc2f8,APPROVED,2022-03-30 14:30:11.836000,2022-03-30 15:09:41.824000,2369.988,23,181,0,100,2022-03-31 10:52:22.397000,29551DF4,Italy,Italy,DATA EXPIRED,Italian,Italy,Female,Yes
624469a0d6e688f755948234,582f8bbd4cadc80001b0fbd3,RETURNED,2022-03-30 14:31:05.648000,,76992.761613,36,1165,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624469a1a0d961409f9a639c,602cf366166df76360257563,APPROVED,2022-03-30 14:31:04.991000,2022-03-30 14:58:40.975000,1655.984,19,53,0,100,2022-03-31 10:52:22.471000,29551DF4,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,Yes
624469d466745f49d29a52dd,5ed377271691ea000c548cb0,RETURNED,2022-03-30 14:34:02.872000,,76815.566897,61,988,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62446a051cd31d5f14b54fda,5d470786da637a00014ba26f,APPROVED,2022-03-30 14:32:37.763000,2022-03-30 15:04:20.967000,1903.204,36,1615,0,100,2022-03-31 10:52:22.552000,29551DF4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
62446a69459daf602866e412,5c17c149f596b100011ca8b8,APPROVED,2022-03-30 14:34:17.928000,2022-03-30 15:24:52.570000,3034.642,33,1117,14,99,2022-03-31 10:52:22.650000,29551DF4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
62446a7a2704e5621b746b6f,5f600669b846780f0fe45709,APPROVED,2022-03-30 14:35:02.839000,2022-03-30 15:18:57.753000,2634.914,32,349,0,100,2022-03-31 10:52:22.763000,29551DF4,Greece,Greece,Part-Time,Greek,Greece,Male,No
62446ad63e1382ffba38035e,5f3e8506cb479c0a96cf4aac,APPROVED,2022-03-30 14:36:06.042000,2022-03-30 14:55:22.013000,1155.971,27,290,0,100,2022-03-31 10:52:22.833000,29551DF4,Greece,Greece,Full-Time,Greek,Greece,Male,No
62446ad685b02d254e5ed5bb,594abd98215cbd000146debc,APPROVED,2022-03-30 14:36:07.981000,2022-03-30 15:09:35.500000,2007.519,53,2046,4,100,2022-03-31 10:52:22.974000,29551DF4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,No
62446addcd2542eb47a7a927,5e9fdd5effe6a51855448d1b,APPROVED,2022-03-30 14:36:13.818000,2022-03-30 15:17:27.355000,2473.537,25,330,0,100,2022-03-31 10:52:23.042000,29551DF4,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Male,Yes
62446af004b9f5dffe8a81b8,602d29200724e36ae7a9def2,APPROVED,2022-03-30 14:36:44.198000,2022-03-30 15:51:25.876000,4481.678,37,191,5,98,2022-03-31 10:52:23.112000,29551DF4,DATA EXPIRED,South Africa,DATA EXPIRED,French,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
62446b0498e64b12d4a5da84,5f8836a5fb70462a169fc0ac,APPROVED,2022-03-30 14:36:52.380000,2022-03-30 15:01:49.088000,1496.708,26,271,3,100,2022-03-31 10:52:23.182000,29551DF4,United Kingdom,Hungary,Part-Time,English,United Kingdom,Male,Yes
62446b8723384fee6cd78589,5ec3b9e83f187802a6aa041e,APPROVED,2022-03-30 14:39:04.753000,2022-03-30 14:57:17.779000,1093.026,25,483,0,100,2022-03-31 10:52:23.280000,29551DF4,Greece,Greece,Part-Time,Greek,Greece,Female,Yes
62446b8e9d5f20d2e2e3aa5d,6086bce92a8e1c219a9120c5,APPROVED,2022-03-30 14:41:21.011000,2022-03-30 15:27:08.560000,2747.549,25,149,7,96,2022-03-31 10:52:23.363000,29551DF4,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
62446b971ed4c285ffd4c643,5d1a69d8f97a18001977e0d7,APPROVED,2022-03-30 14:39:29.988000,2022-03-30 15:07:44.470000,1694.482,45,1625,1,100,2022-03-31 10:52:23.456000,29551DF4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
62446baab4426b5355b8a6ef,60aa4b9356c591511cc09f5f,APPROVED,2022-03-30 14:39:44.683000,2022-03-30 15:11:29.306000,1904.623,50,145,0,100,2022-03-31 10:52:23.559000,29551DF4,Greece,Greece,Full-Time,Greek,Greece,Male,Yes
62446c6cf989ac2a44aa8b36,5e3b5fa9255e7a37bc841135,APPROVED,2022-03-30 14:43:04.733000,2022-03-30 15:11:54.353000,1729.62,49,446,1,100,2022-03-31 10:52:23.655000,29551DF4,Angola,Portugal,Full-Time,Portuguese,Portugal,Male,No
6244702a828195fcd14067e1,5bdf91dbb32fa800012ea282,RETURNED,2022-03-30 14:58:58.220000,,75320.462601,47,683,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
