submission_id,participant_id,status,started_at,completed_at,reviewed_at,Archived at,time_taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62a48704b5e981c3ee309735,60d0c9c5ee2b2dc08edb7f01,APPROVED,2022-06-11T12:13:56.810000Z,2022-06-11T12:44:34.670000Z,2022-06-27T11:25:10.351000Z,,1838,29551DF4,135,2,100,21,Male,Other,Greece,Greece,Greece,Greek,Yes,Other
62a48711474ed2b38d727afe,5fd8d828c853592bc565d160,APPROVED,2022-06-11T12:14:09.405000Z,2022-06-11T12:32:23.655000Z,2022-06-27T11:25:10.422000Z,,1095,29551DF4,269,0,100,24,Male,Asian,Indonesia,Japan,Indonesia,Indonesian,Yes,Unemployed (and job seeking)
62a487124803ee216ec8ef3b,5bb64eb80b5da70001c7cfca,APPROVED,2022-06-11T12:14:13.336000Z,2022-06-11T12:55:07.406000Z,2022-06-27T11:25:15.896000Z,,2455,29551DF4,55,1,100,26,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
62a487147ae2a28f84da17e9,5ddd2275946f7cc8b0efb547,APPROVED,2022-06-11T12:14:12.780000Z,2022-06-11T12:50:45.764000Z,2022-06-27T11:25:15.970000Z,,2193,29551DF4,334,10,96,23,Female,White,Greece,Greece,Greece,Greek,Yes,Part-Time
62a48715ccd7114258bd923f,6159e8d7327e9932b6cc3333,APPROVED,2022-06-11T12:14:18.693000Z,2022-06-11T12:45:01.214000Z,2022-06-27T11:25:16.051000Z,,1843,29551DF4,151,0,100,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
62a487199be12469c26af1e2,616a1875b47d519ccfc44f12,APPROVED,2022-06-11T12:14:17.556000Z,2022-06-11T12:34:29.907000Z,2022-06-27T11:25:16.123000Z,,1213,29551DF4,161,3,99,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
62a4871c0483ef20d8b8a029,5b1e7a55c813a60001480313,APPROVED,2022-06-11T12:14:20.174000Z,2022-06-11T12:31:15.143000Z,2022-06-27T11:25:10.493000Z,,1015,29551DF4,203,0,100,23,Male,Mixed,Portugal,Switzerland,Portugal,Portuguese,Yes,Other
62a4871ddecb45cb5c70f083,5b58d79b71a4100001555c56,APPROVED,2022-06-11T12:14:21.432000Z,2022-06-11T12:40:47.303000Z,2022-06-27T11:25:16.196000Z,,1586,29551DF4,139,1,100,23,Female,White,Latvia,Latvia,Latvia,Latvian,Yes,Unemployed (and job seeking)
62a4872042cf2458db3641e9,5f149b7dab1b5e096ca4f39e,APPROVED,2022-06-11T12:14:24.941000Z,2022-06-11T12:37:40.085000Z,2022-06-27T11:25:16.344000Z,,1396,29551DF4,192,1,100,30,Female,White,Italy,Italy,Italy,Italian,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62a4872ca8a82f7c9eb95f61,612bcb7cd77f28008c99a02b,APPROVED,2022-06-11T12:14:36.880000Z,2022-06-11T13:01:16.467000Z,2022-06-27T11:25:16.412000Z,,2800,29551DF4,64,1,100,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
62a4872eb939990a229e6111,5b06c34ed424fd0001eebda1,APPROVED,2022-06-11T12:14:43.677000Z,2022-06-11T12:38:33.565000Z,2022-06-27T11:25:10.567000Z,,1430,29551DF4,163,1,100,23,Male,White,Hungary,United States,Hungary,Hungarian,No,Full-Time
62a4873602d25b536f747e17,5cb450df19eba3001270131f,APPROVED,2022-06-11T12:14:46.252000Z,2022-06-11T12:36:40.062000Z,2022-06-27T11:25:16.487000Z,,1314,29551DF4,177,0,100,26,Female,White,Poland,Poland,Poland,Polish,No,DATA_EXPIRED
