session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ef9bd86ee40e00246762cac,5e6d1d84e02fac2e80630986,RETURNED,08:12.8,,55143242.27,36,217,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef9bd93c48edf02369d8e17,5de78fbbd7b2a0000bc2df59,APPROVED,08:19.7,31:36.2,1396.475,38,188,0,100,26:11.9,49081850,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,No
5ef9bda712a2f702fd09b575,5eb83adc96c347785d6ccfd0,TIMED-OUT,08:49.8,,55143205.35,46,33,0,100,,,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
5ef9bdaeee40e001d9e2cd69,5d2a4351379e510001491ee4,APPROVED,08:48.1,28:51.7,1203.674,21,16,0,100,26:14.3,49081850,Belgium,Belgium,DATA EXPIRED,German,Belgium,Male,DATA EXPIRED
5ef9bdc457feeb0248a42ffc,5db6fbd992a62e000c1d47d5,APPROVED,09:08.2,29:34.0,1225.753,27,237,4,98,26:17.1,49081850,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
5ef9bdce27c8ea755e438a16,5c6aeae949b7f0000120b170,APPROVED,09:23.1,25:43.5,980.422,41,33,0,100,26:22.6,49081850,Ireland,Ireland,DATA EXPIRED,English,Ireland,Female,DATA EXPIRED
5ef9bdcfa55497757e523de1,5e9890e8cc36260b3fb2255c,APPROVED,09:32.3,05:45.8,3373.468,50,127,0,100,26:28.2,49081850,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
5ef9bddd0cf79601247188ca,5c8a4f339917780016a4ee43,APPROVED,09:52.0,39:23.6,1771.538,35,222,0,100,26:31.1,49081850,Spain,Spain,DATA EXPIRED,Spanish,Spain,Male,DATA EXPIRED
5ef9bdded9a3d875ab68e34d,5ed8fd2c7adfab08ea2918c4,APPROVED,11:46.3,35:19.8,1413.436,,46,3,96,26:33.3,49081850,,,,,,,
5ef9bdf1b0ec20759eb640f0,5eaab75ff9860902c68c9502,APPROVED,09:53.0,31:05.5,1272.551,26,247,0,100,26:38.9,49081850,Morocco,Belgium,Full-Time,Arabic,Belgium,Male,Yes
