session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
60bf36e04e91714d3236b6fe,5e9948b69223aa17c21564f4,APPROVED,2021-06-08 09:22:48.977000,2021-06-08 09:50:06.732000,1637.755,21,8,1,99,2021-06-08 14:54:22.332000,29551DF4,United Kingdom,South Africa,Full-Time,DATA EXPIRED,South Africa,Male,No
60bf3754f8c0340279e77547,5f1efa006ba46a05e161bc68,RETURNED,2021-06-08 09:35:00.072000,,92225.996156,24,140,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60bf381f5cb6ce987fe7a107,5ee76b96fa692303a706f661,RETURNED,2021-06-08 09:28:07.773000,,92638.312107,35,14,1,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60bf39349a9e8762cae6665d,5ed8be74a4175a01156004b0,APPROVED,2021-06-08 09:32:38.389000,2021-06-08 09:50:25.898000,1067.509,27,141,2,100,2021-06-08 14:54:49.263000,29551DF4,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,United Kingdom,Female,Yes
60bf397ad51c58d3547690ac,60bdf618de5fce4b2423e8d7,APPROVED,2021-06-08 09:33:59.912000,2021-06-08 10:01:39.701000,1659.789,19,5,0,100,2021-06-08 14:55:21.758000,29551DF4,Italy,Italy,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,Italy,Male,Yes
60bf3b305cb0341ab97584ee,5a048d21df3fa800015c33a1,RETURNED,2021-06-08 09:41:11.212000,,91854.922095,41,48,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60bf3b9ab4e416a288862a77,600a9ab59e9b701db49fbec1,APPROVED,2021-06-08 09:42:52.155000,2021-06-08 10:02:19.014000,1166.859,23,29,0,100,2021-06-08 14:55:48.439000,29551DF4,Portugal,Portugal,Unemployed (and job seeking),DATA EXPIRED,Portugal,Male,No
60bf3be983b8f9717d3b8264,5e53441f47808436263f86a6,RETURNED,2021-06-08 09:44:14.624000,,91671.543829,31,142,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60bf3c040817a019cd55155f,5eb335141bd0f31289de4a8d,RETURNED,2021-06-08 09:44:38.900000,,91647.284715,41,70,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60bf3c3f7f7dc4657e7f56a7,5d29fbc8f91bdd0016e98503,APPROVED,2021-06-08 09:45:42.808000,2021-06-08 10:05:07.676000,1164.868,22,134,2,98,2021-06-08 14:59:25.971000,29551DF4,Ukraine,Portugal,DATA EXPIRED,DATA EXPIRED,Portugal,Male,Yes
60bf3c85f7f3bb1d3f973aa8,60b998d3799e7d42a824491d,RETURNED,2021-06-08 09:46:52.426000,,91513.788714,21,8,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60bf3ce43fe5f96f0fee579f,59402f40e9b44100013b1789,APPROVED,2021-06-08 09:48:22.129000,2021-06-08 10:06:15.991000,1073.862,29,46,0,100,2021-06-08 14:59:28.867000,29551DF4,Spain,Spain,DATA EXPIRED,DATA EXPIRED,Spain,Female,DATA EXPIRED
60bf3cf9a3326031453998e3,5f9a893d999ea71a0c6c4851,APPROVED,2021-06-08 09:48:46.087000,2021-06-08 10:32:24.263000,2618.176,42,34,0,100,2021-06-08 14:59:02.434000,29551DF4,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Male,DATA EXPIRED
60bf3e13c8f5dc2de3d8a35f,60b5cbacd78980bbcd8ddd41,APPROVED,2021-06-08 09:53:29.407000,2021-06-08 10:18:11.455000,1482.048,19,3,0,100,2021-06-08 14:59:01.558000,29551DF4,New Zealand,New Zealand,DATA EXPIRED,DATA EXPIRED,New Zealand,DATA EXPIRED,DATA EXPIRED
60bf3e16cebb49910fa2034e,60bf38379e6e346e1408423d,TIMED-OUT,2021-06-08 09:53:27.912000,,91118.362214,49,5,0,100,,,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,United Kingdom,Male,No
60bf3e7b0b549ed7d0633c09,60b8f65c08c495829d4eab84,RETURNED,2021-06-08 09:55:10.298000,,91015.992751,22,5,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60bf3e9096cfa72bd2cb2136,60be5cb81de91fc787d3c59c,RETURNED,2021-06-08 09:57:58.916000,,90847.390105,23,14,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60bf3ecc05fdac9f436da5c0,5f17467b67d63709ed041308,TIMED-OUT,2021-06-08 09:56:29.649000,,90936.672221,20,30,1,99,,,United Kingdom,United Kingdom,Unemployed (and job seeking),DATA EXPIRED,United Kingdom,Female,Yes
60bf3f4ef3d93eaee1ed6eea,5da857a82ff00400162bc9b8,RETURNED,2021-06-08 09:58:42.130000,,90804.207096,36,174,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
