,part_idx,participant,mean_accuracy,inters_real,int_range,int_length,scenario,accuracy,difficulty
95,95,611bb2a6d9678117db737236,0.8972356940893118,11.2,89.94642857142857,2.507142857142857,crime,0.8492443277111181,1
96,96,611cf2fd04c64ae9781b55e5,0.6804961049819225,3.6,70.88888888888889,0.9888888888888892,crime,0.7226499018873854,1
97,97,611df8db8ecf47bb14385383,0.7413319499399431,8.4,89.61904761904762,3.3333333333333335,crime,0.5595118040783968,2
98,98,611f7047eaa28b1cf9ae51e2,0.7226477252410378,0.0,0.0,0.0,crime,0.6944949536696107,2
99,99,612376826a580ca0368bb19f,0.9045140732772066,6.8,116.76470588235294,5.905882352941177,crime,0.8211145618000169,2
100,100,6123c895dc579c298d2f1b28,0.7592041905914808,7.0,118.22857142857143,3.411428571428571,crime,0.7402218974265015,2
101,101,612520bd6605794b27e6a0fd,0.8688877807182319,7.0,63.6,3.577142857142857,crime,0.8595121282627459,1
102,102,612bcb7cd77f28008c99a02b,0.7259776521289607,11.8,58.610169491525426,0.9016949152542373,crime,0.686695820004817,2
103,103,612ece428a05456e8c139f24,0.893605982669078,5.0,98.08,4.816,crime,0.8651600275073517,1
104,104,6136118bad9cfc727875ff1d,0.7228290234056226,4.4,94.81818181818181,1.4909090909090907,crime,0.5626707983668449,2
105,105,614db36e092327bf23247406,0.8333198413469862,15.0,82.06666666666666,0.7226666666666666,crime,0.8492443277111181,2
106,106,614edc28c06016196b8d6a40,0.8063607533489741,8.6,90.23255813953489,3.669767441860466,crime,0.8643353105061596,1
107,107,6152f8ecefde7f8298316ee6,0.88053573726061,4.0,75.45,6.03,crime,0.8817375208021835,1
108,108,615723658f8da6931e2f13af,0.9136595978905329,8.2,120.46341463414635,3.9170731707317077,crime,0.9282041841382261,2
109,109,61574e41214a73351c521d59,0.7323477934208992,7.8,53.92307692307692,3.58974358974359,crime,0.7036811210051231,2
110,110,6159dadf97b3d488c08d4f01,0.8121079869928126,7.0,115.91428571428571,3.28,crime,0.8367006838144548,1
