participant,scenario,difficulty,accuracy,normative_error,normative_score,normative_entropy,lc_error,lc_score,lc_entropy,lc_prior_bf
5ab15ab4c42b630001cd36fb,finance,2,0.7867992836443896,0.0,1.0,13.93156857,0.19738550848793068,0.8026144915120693,12.35623995,1
5abc0d68436f550001ff83ff,finance,1,0.7867992836443896,0.0,1.0,13.93156857,0.11547005383792519,1.0,13.90266167,0
5b06c34ed424fd0001eebda1,finance,1,0.9098330365332568,0.0,1.0,9.329483327,0.08703882797784879,1.0,7.496979802,0
5b1e7a55c813a60001480313,finance,1,1.0,0.0,1.0,11.86716261,0.0,1.0,8.887065597,0
5b58d79b71a4100001555c56,finance,2,0.919417703597462,0.0,1.0,9.329483325,0.0,1.0,8.963393884,0
5b7af290db11320001c3ff1d,finance,2,0.6776708143898479,0.0,1.0,6.543541094,0.18018749253911182,0.8198125074608882,8.219844422,1
5b8c8e7d0c740e00019d55c3,finance,1,0.8724846573873324,0.0,1.0,6.54354109,0.0,1.0,8.887745483,0
5ba57e0438803d0001264be3,finance,1,1.0,0.0,1.0,11.86718184,-0.005204460258097177,0.919417703597462,11.12282664,0
5bb511c6689fc5000149c703,finance,1,0.91695452014626,0.0,1.0,13.93156857,-0.08304547985374,0.91695452014626,10.62570356,0
5bb64eb80b5da70001c7cfca,finance,2,0.8377785788692375,0.0,1.0,11.86718184,0.004861425399078856,0.9188892894346188,11.94920359,0
5bc1c9dd9fffb200019bebe1,finance,2,0.9163757989992908,0.0,1.0,13.93156857,-0.08944271909999157,1.0,8.887796544,0
5bc1f0157870b900012dcb8a,finance,1,0.9129611720221512,0.0,1.0,13.93156857,0.028431225860076403,0.9129611720221512,10.94253465,0
5bf1ecfcaf38d100016c1171,finance,1,0.8492443277111181,0.0,1.0,11.86718184,0.0,1.0,7.502661677,1
5c0e104111d18f0001995175,finance,2,0.5948097922239335,0.0,1.0,13.93156857,0.086386842558136,0.913613157441864,12.3803508,0
5c3885dcf5ebd5000184defb,finance,2,0.8817375208021835,0.0,1.0,13.93156857,0.0,1.0,10.0884407,0
5c7e388fffd1190017be7f83,finance,2,0.9098330365332568,0.0,1.0,13.93156857,0.0,1.0,11.5807498,0
5c88d569d47e6a0001a6192a,finance,2,0.5098370268372567,0.0,1.0,11.86719082,0.0,1.0,11.99930366,0
5cb450df19eba3001270131f,finance,2,0.91695452014626,0.0,1.0,11.86718184,-0.0005787211469692188,0.91695452014626,8.887700518,1
5d00bb3b51669b000136a986,finance,2,0.7303200550147032,0.0,1.0,13.93156857,-0.09284766908852604,1.0,13.90144197,0
5d77679546b49c0001fe0c03,finance,2,0.7508635604387801,0.0,1.0,13.93156857,0.08304547985374,0.91695452014626,10.08846945,0
5d7e41aea60f7b00013cf1af,finance,2,0.6984886554222364,0.0,1.0,11.38419681,0.07784989441615242,0.9221501055838476,10.08846946,0
5dab6e7d80e1780016d5bc9b,finance,2,0.8196660730665135,0.0,1.0,13.93156857,0.0,1.0,10.08846946,0
5ddb0d8c9dac7ca8a61b00fd,finance,1,0.9098330365332568,0.0,1.0,13.93156857,0.0,1.0,9.509774931,0
5ddd2275946f7cc8b0efb547,finance,1,0.7388835160664533,0.0,1.0,13.93156857,0.0,1.0,11.12282674,0
5e04595a4fa02aefdb9c9ced,finance,1,0.6966445321453714,0.0,1.0,9.328857224,-0.031958714500432306,0.8892302448756577,8.517622046,0
5e3df819d96094073a9c939a,finance,2,0.6269379974696447,0.10153461651336193,0.8984653834866381,13.93156857,-0.09298488851849296,0.8984653834866381,13.93156857,0
5e482f13410cd9000bc937bb,finance,1,0.9246221638555592,0.0,1.0,11.86718184,-0.07537783614444082,0.9246221638555592,8.219844422,0
5e6de0802649e039418cabd5,finance,2,0.9063414188418306,0.0,1.0,13.93156857,0.0,1.0,6.731572309,0
5e7b1409f898741063f7a2f1,finance,1,0.8613249509436928,0.0,1.0,13.93156857,-0.044496526422403426,0.803883864861816,11.64047551,0
5e7cb947659c7606131b5257,finance,2,0.8116891057113227,0.0,1.0,13.93156857,0.002565534013879267,0.9157848078933482,10.08737844,0
5e89d0a17ec160000888ee98,finance,2,0.8130106019983085,0.0,1.0,13.93156857,-0.11744404390294072,1.0,11.12282784,0
5e8ef2059eeb7a1af7502f3c,finance,1,0.8327515979985818,0.0,1.0,11.86718184,0.07580980435789042,1.0,10.08834291,0
5e99df633de3190530449f5c,finance,1,0.8769085090206673,0.0,1.0,13.93156857,0.0,1.0,11.12282664,1
5ea1fd326a1a5b0f94637a31,finance,2,0.7245693027901261,0.0,1.0,11.86718184,0.009123352758282799,0.91695452014626,11.58074957,0
5ea2bd8b006ae70616ae21ab,finance,1,0.792768763753932,0.12435400084345172,1.0,9.329483322,-0.009235138610980353,0.8892302448756577,9.53573551,0
5ea98f445ef6ee093f4f05ec,finance,1,0.850373599583855,0.0,1.0,11.30826326,0.0,1.0,9.351756747,0
5ec2cc6ace4b500d365da245,finance,1,0.8892302448756577,0.0,1.0,11.84741852,0.025649003983211682,0.9216739550012044,8.885342614,0
