participant,scenario,difficulty,accuracy,actions,normative_error,lc_error
59402f40e9b44100013b1789,crime,1,0.772570586926329,1,0.0,-0.00401398849611645
59402f40e9b44100013b1789,estate,2,0.7334699803659629,1,0.0,-0.00401398849611645
59402f40e9b44100013b1789,finance,3,0.8984653834866381,1,0.0,-0.00401398849611645
59de425bbe399f0001e4975e,crime,2,0.5654759053732592,1,0.0,0.1945195050318549
59de425bbe399f0001e4975e,estate,3,0.4647556758951231,1,0.0,0.1945195050318549
59de425bbe399f0001e4975e,finance,1,0.5638990379742845,1,0.0,0.1945195050318549
5b6baad47e435d0001c1c88f,crime,2,0.9264785377906192,1,0.0,0.18569533817705186
5b6baad47e435d0001c1c88f,estate,3,0.8927887465162205,1,0.0,0.18569533817705186
5b6baad47e435d0001c1c88f,finance,1,0.889903623487364,1,0.0,0.18569533817705186
5b74413e722bd2000195c067,crime,3,0.8960249510179927,1,0.07352146220938083,0.12734290799340264
5b74413e722bd2000195c067,estate,1,0.8921672267965616,1,0.07352146220938083,0.12734290799340264
5b74413e722bd2000195c067,finance,2,0.8643353105061596,1,0.07352146220938083,0.12734290799340264
5ba4d6c929629d00014e6c28,crime,3,0.7411365045466037,1,0.0,0.10153461651336193
5ba4d6c929629d00014e6c28,estate,2,0.7994261107285615,1,0.0,0.10153461651336193
5ba4d6c929629d00014e6c28,finance,1,0.8651600275073517,1,0.0,0.10153461651336193
5badf0aeae1d020001df2cc7,crime,2,0.686695820004817,1,0.0,0.16054032476698388
5badf0aeae1d020001df2cc7,estate,1,0.5224330670590808,1,0.0,0.16054032476698388
5badf0aeae1d020001df2cc7,finance,3,0.5183790256990484,1,0.0,0.16054032476698388
5c6d938c79151c00017c7560,crime,1,1.0,1,-0.07881104062390998,-0.04818996427966438
5c6d938c79151c00017c7560,estate,3,0.8521557458090854,1,-0.07881104062390998,-0.04818996427966438
5c6d938c79151c00017c7560,finance,2,0.83390904029252,1,-0.07881104062390998,-0.04818996427966438
5c74f0d525c76b0010706736,crime,2,0.8927887465162205,1,0.0,0.16054032476698388
5c74f0d525c76b0010706736,estate,1,1.0,1,0.0,0.16054032476698388
5c74f0d525c76b0010706736,finance,3,0.8756459991565483,1,0.0,0.16054032476698388
5c9124ef3b7f9e0013728485,crime,1,0.8143046618229481,1,0.0714285714285714,0.0436571201962187
5c9124ef3b7f9e0013728485,estate,3,0.8110177634953863,1,0.0714285714285714,0.0436571201962187
