,utid,participant,experiment,difficulty,scenario,accuracy
3157,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,1.0
3169,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,0.8954583253021366
3181,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,0.91695452014626
3217,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,0.8927887465162205
3229,2_5c74f0d525c76b0010706736_estate_congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,1.0
3241,2_5c74f0d525c76b0010706736_finance_implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,0.8564083682764524
3253,2_5c9124ef3b7f9e0013728485_crime_congruent,5c9124ef3b7f9e0013728485,experiment_2,1,crime,0.9241901956421097
3265,2_5c9124ef3b7f9e0013728485_estate_implausible,5c9124ef3b7f9e0013728485,experiment_2,3,estate,0.8571428571428572
3277,2_5c9124ef3b7f9e0013728485_finance_incongruent,5c9124ef3b7f9e0013728485,experiment_2,2,finance,0.8492443277111181
3313,2_5cae09506d573900175d4727_crime_incongruent,5cae09506d573900175d4727,experiment_2,2,crime,0.8651600275073517
3325,2_5cae09506d573900175d4727_estate_congruent,5cae09506d573900175d4727,experiment_2,1,estate,0.91695452014626
3337,2_5cae09506d573900175d4727_finance_implausible,5cae09506d573900175d4727,experiment_2,3,finance,0.8790283242181732
3361,2_5cb304b63742a400153b756d_crime_implausible,5cb304b63742a400153b756d,experiment_2,3,crime,0.8954583253021366
3373,2_5cb304b63742a400153b756d_estate_incongruent,5cb304b63742a400153b756d,experiment_2,2,estate,0.9216739550012043
3385,2_5cb304b63742a400153b756d_finance_congruent,5cb304b63742a400153b756d,experiment_2,1,finance,1.0
3409,2_5ccc758ab11510001584a1af_crime_implausible,5ccc758ab11510001584a1af,experiment_2,3,crime,0.8984653834866381
3421,2_5ccc758ab11510001584a1af_estate_congruent,5ccc758ab11510001584a1af,experiment_2,1,estate,1.0
3433,2_5ccc758ab11510001584a1af_finance_incongruent,5ccc758ab11510001584a1af,experiment_2,2,finance,0.9241901956421097
3457,2_5cd98287b0c5ec0001e0965a_crime_incongruent,5cd98287b0c5ec0001e0965a,experiment_2,2,crime,0.9221501055838477
3469,2_5cd98287b0c5ec0001e0965a_estate_congruent,5cd98287b0c5ec0001e0965a,experiment_2,1,estate,1.0
3481,2_5cd98287b0c5ec0001e0965a_finance_implausible,5cd98287b0c5ec0001e0965a,experiment_2,3,finance,0.8762820851736516
3493,2_5cdeaeb3557fbd00018a2c59_crime_incongruent,5cdeaeb3557fbd00018a2c59,experiment_2,2,crime,0.8790283242181732
3505,2_5cdeaeb3557fbd00018a2c59_estate_implausible,5cdeaeb3557fbd00018a2c59,experiment_2,3,estate,0.9260778729045427
3517,2_5cdeaeb3557fbd00018a2c59_finance_congruent,5cdeaeb3557fbd00018a2c59,experiment_2,1,finance,1.0
3553,2_5cf92c7255e1370001e54adb_crime_implausible,5cf92c7255e1370001e54adb,experiment_2,3,crime,0.9301569704230421
3565,2_5cf92c7255e1370001e54adb_estate_incongruent,5cf92c7255e1370001e54adb,experiment_2,2,estate,0.9216739550012043
3577,2_5cf92c7255e1370001e54adb_finance_congruent,5cf92c7255e1370001e54adb,experiment_2,1,finance,0.9216739550012043
3601,2_5d29fbc8f91bdd0016e98503_crime_implausible,5d29fbc8f91bdd0016e98503,experiment_2,3,crime,0.8152127129280409
3613,2_5d29fbc8f91bdd0016e98503_estate_congruent,5d29fbc8f91bdd0016e98503,experiment_2,1,estate,0.9163757989992909
3625,2_5d29fbc8f91bdd0016e98503_finance_incongruent,5d29fbc8f91bdd0016e98503,experiment_2,2,finance,0.91695452014626
3649,2_5d36ff998129260015c6de19_crime_congruent,5d36ff998129260015c6de19,experiment_2,1,crime,0.9163757989992909
3661,2_5d36ff998129260015c6de19_estate_implausible,5d36ff998129260015c6de19,experiment_2,3,estate,0.882148869802242
3673,2_5d36ff998129260015c6de19_finance_incongruent,5d36ff998129260015c6de19,experiment_2,2,finance,1.0
3685,2_5d6e3252dfe6d10001dbe508_crime_congruent,5d6e3252dfe6d10001dbe508,experiment_2,1,crime,0.8927887465162205
