participant,scenario,difficulty,accuracy,actions,normative_error,lc_error
56cb8858edf8da000b6df354,crime,1,1.0,1,0.0,-0.080582296402538
56cb8858edf8da000b6df354,finance,2,1.0,1,0.0,-0.080582296402538
571de12713b1b70012be47f6,crime,2,1.0,1,0.0,0.03784986727001871
571de12713b1b70012be47f6,finance,1,0.8933996418221948,1,0.0,0.03784986727001871
572f526c3c27e7000e0b8aaa,crime,1,1.0,1,0.0,0.08362420100070922
572f526c3c27e7000e0b8aaa,finance,2,0.9163757989992908,1,0.0,0.08362420100070922
5831960ab232860001b110dc,crime,2,1.0,1,0.0,-0.08944271909999157
5831960ab232860001b110dc,finance,1,1.0,1,0.0,-0.08944271909999157
594abd98215cbd000146debc,crime,2,0.5149287499273341,1,0.1618412824949389,-0.086386842558136
594abd98215cbd000146debc,finance,1,0.676770032422273,1,0.1618412824949389,-0.086386842558136
5acc65f668b65b00018db322,crime,2,0.9221501055838476,1,0.0,0.05699007807649592
5acc65f668b65b00018db322,finance,1,1.0,1,0.0,0.05699007807649592
5b339152afe1d00001c6c509,crime,2,1.0,1,0.0,-0.08304547985374
5b339152afe1d00001c6c509,finance,1,1.0,1,0.0,-0.08304547985374
5b84a7ea4f38790001778d53,crime,2,0.8852921330647191,1,0.0,0.05145166600642026
5b84a7ea4f38790001778d53,finance,1,1.0,1,0.0,0.05145166600642026
5c018eb6067bbf00019ba43d,crime,1,1.0,1,0.0,-0.05121577149193912
5c018eb6067bbf00019ba43d,finance,2,1.0,1,0.0,-0.05121577149193912
5c06fc4918ac7e00016bf76d,crime,2,1.0,1,0.0,0.13130643285972254
5c06fc4918ac7e00016bf76d,finance,1,1.0,1,0.0,0.13130643285972254
5c17c149f596b100011ca8b8,crime,1,1.0,1,0.0,0.08304547985374
5c17c149f596b100011ca8b8,finance,2,1.0,1,0.0,0.08304547985374
5c6400cbcb937d00012d8866,crime,1,0.9237507148336976,1,0.0,-0.06611172777446872
5c6400cbcb937d00012d8866,finance,2,0.913613157441864,1,0.0,-0.06611172777446872
5c7dd22debc24800018e7ca0,crime,1,1.0,1,0.0,0.0
5c7dd22debc24800018e7ca0,finance,2,1.0,1,0.0,0.0
5c8bafb53b6f3d00013d7c30,crime,1,1.0,1,0.0,-0.11009637651263604
5c8bafb53b6f3d00013d7c30,finance,2,1.0,1,0.0,-0.11009637651263604
5cf9179b8c98dc0001d5a431,crime,2,1.0,1,0.0,0.15161960871578062
5cf9179b8c98dc0001d5a431,finance,1,1.0,1,0.0,0.15161960871578062
5cfddbd3ee0b1500019fa84c,crime,1,1.0,1,0.0,0.086386842558136
5cfddbd3ee0b1500019fa84c,finance,2,1.0,1,0.0,0.086386842558136
5d1a69d8f97a18001977e0d7,crime,2,0.8551586351244197,1,0.0,-0.083624201000709
5d1a69d8f97a18001977e0d7,finance,1,1.0,1,0.0,-0.083624201000709
5d1c9f75328d1c001af3af0f,crime,1,1.0,1,0.0,-0.05505084805559801
5d1c9f75328d1c001af3af0f,finance,2,1.0,1,0.0,-0.05505084805559801
5d470786da637a00014ba26f,crime,1,0.9260778729045428,1,0.0,-0.14784425419091463
5d470786da637a00014ba26f,finance,2,1.0,1,0.0,-0.14784425419091463
5d67b6d92b7448000173d95a,crime,1,1.0,1,0.0,0.003041904598171219
5d67b6d92b7448000173d95a,finance,2,0.9163757989992908,1,0.0,0.003041904598171219
5d70ec2138ac7e00012f817b,crime,2,1.0,1,0.0,0.08858918294746687
5d70ec2138ac7e00012f817b,finance,1,1.0,1,0.0,0.08858918294746687
5dafea4de40355001651fa2f,crime,2,0.8619868881315291,1,0.0,0.0
5dafea4de40355001651fa2f,finance,1,0.8438262381113939,1,0.0,0.0
5dde680c40460edc4a5dc1a2,crime,1,1.0,1,0.0,-0.029361359067627046
5dde680c40460edc4a5dc1a2,finance,2,1.0,1,0.0,-0.029361359067627046
5de2b59d8fde1c2eb47f92d8,crime,1,1.0,1,0.0,0.08304547985374
5de2b59d8fde1c2eb47f92d8,finance,2,1.0,1,0.0,0.08304547985374
5e1b65eeb287dc38d94b694e,crime,2,1.0,1,0.0,0.08421519210665185
5e1b65eeb287dc38d94b694e,finance,1,0.913613157441864,1,0.0,0.08421519210665185
5e31e6491faa251bf58151ce,crime,1,1.0,1,0.0,0.08574929257125441
5e31e6491faa251bf58151ce,finance,2,1.0,1,0.0,0.08574929257125441
5e3b5fa9255e7a37bc841135,crime,1,1.0,1,0.0,-0.003041904598171219
5e3b5fa9255e7a37bc841135,finance,2,1.0,1,0.0,-0.003041904598171219
5e7d3b58d638273c7f823c7b,crime,2,1.0,1,0.0,0.0009611462077575572
5e7d3b58d638273c7f823c7b,finance,1,1.0,1,0.0,0.0009611462077575572
5e822d17f956a29530ccc2f8,crime,2,0.8643353105061596,1,0.0,0.05508239309130236
5e822d17f956a29530ccc2f8,finance,1,1.0,1,0.0,0.05508239309130236
5e9fdd5effe6a51855448d1b,crime,1,0.9246221638555592,1,0.0,0.11031750203261104
5e9fdd5effe6a51855448d1b,finance,2,0.9241901956421096,1,0.0,0.11031750203261104
5ec3b9e83f187802a6aa041e,crime,1,1.0,1,0.0,-0.13015523650187044
5ec3b9e83f187802a6aa041e,finance,2,1.0,1,0.0,-0.13015523650187044
5eea0a01da0cfc0a744df4d9,crime,1,0.9241901956421096,1,0.0,-0.10721125348377947
5eea0a01da0cfc0a744df4d9,finance,2,0.752202686108324,1,0.0,-0.10721125348377947
5ef601b056fe3607b3410b33,crime,1,1.0,1,0.0,-0.13015523650187044
5ef601b056fe3607b3410b33,finance,2,1.0,1,0.0,-0.13015523650187044
5eff4206a352be49f1aef4cc,crime,1,1.0,1,0.0,-0.13130643285972254
5eff4206a352be49f1aef4cc,finance,2,0.9129611720221512,1,0.0,-0.13130643285972254
5f0559d1bc410b85707c58a3,crime,1,1.0,1,0.0,-0.1438389904456152
5f0559d1bc410b85707c58a3,finance,2,0.907152330911474,1,0.0,-0.1438389904456152
5f120176fbc66510873bcbf8,crime,1,1.0,1,0.0,-0.13234196773158147
5f120176fbc66510873bcbf8,finance,2,1.0,1,0.0,-0.13234196773158147
5f1b2fe23bcef80c38d2a362,crime,2,1.0,1,0.0,0.10454167469786335
5f1b2fe23bcef80c38d2a362,finance,1,1.0,1,0.0,0.10454167469786335
5f2448855226b0000a8129e1,crime,1,1.0,1,0.0,0.00519558543758758
5f2448855226b0000a8129e1,finance,2,0.91695452014626,1,0.0,0.00519558543758758
5f2c226f8cea75078acb6377,crime,2,1.0,1,0.0,0.10511304177451386
5f2c226f8cea75078acb6377,finance,1,1.0,1,0.0,0.10511304177451386
5f343de4d0c07630b7f90b92,crime,1,1.0,1,0.0,-0.080582296402538
5f343de4d0c07630b7f90b92,finance,2,1.0,1,0.0,-0.080582296402538
5f3aee04e30eac7cb73b416e,crime,2,1.0,1,0.0,-0.0034834674433027457
5f3aee04e30eac7cb73b416e,finance,1,0.91695452014626,1,0.0,-0.0034834674433027457
5f3e8506cb479c0a96cf4aac,crime,2,1.0,1,0.0,0.11936504053652841
5f3e8506cb479c0a96cf4aac,finance,1,0.8921672267965616,1,0.0,0.11936504053652841
5f466020c3a053038da47399,crime,2,1.0,1,0.0,-0.0017712557786280225
5f466020c3a053038da47399,finance,1,1.0,1,0.0,-0.0017712557786280225
5f4e97aae4fe380a7bad99c7,crime,2,0.8927887465162205,1,0.0,0.05345653844357012
5f4e97aae4fe380a7bad99c7,finance,1,1.0,1,0.0,0.05345653844357012
5f600669b846780f0fe45709,crime,2,0.9199359230974564,1,0.0,0.0
5f600669b846780f0fe45709,finance,1,0.8867722965855405,1,0.0,0.0
5f6b8c1f5622370b0c94d597,crime,1,1.0,1,0.0,-0.05288052555727785
5f6b8c1f5622370b0c94d597,finance,2,1.0,1,0.0,-0.05288052555727785
5f75ce20817166287293b825,crime,2,1.0,1,0.0,0.03183341733933864
5f75ce20817166287293b825,finance,1,1.0,1,0.0,0.03183341733933864
5f761e5106b786071f45b4aa,crime,1,1.0,1,0.0,-0.1147078669352809
5f761e5106b786071f45b4aa,finance,2,0.9221501055838476,1,0.0,-0.1147078669352809
5f8836a5fb70462a169fc0ac,crime,2,1.0,1,0.0,-0.03074367544343115
5f8836a5fb70462a169fc0ac,finance,1,0.9163757989992908,1,0.0,-0.03074367544343115
5f97e6601f6d0e016087fc91,crime,1,1.0,1,0.0,0.13643581986956188
5f97e6601f6d0e016087fc91,finance,2,0.840280858750015,1,0.0,0.13643581986956188
5f9aba6600cdf11f1c9b915c,crime,2,1.0,1,0.0,0.07849823143016943
5f9aba6600cdf11f1c9b915c,finance,1,1.0,1,0.0,0.07849823143016943
5fa107215a15fe19519b484d,crime,1,0.919417703597462,1,0.080582296402538,0.080582296402538
5fa107215a15fe19519b484d,finance,2,0.919417703597462,1,0.080582296402538,0.080582296402538
5fad2378719b9d3a961834c9,crime,1,1.0,1,0.0,0.09502850340642965
5fad2378719b9d3a961834c9,finance,2,1.0,1,0.0,0.09502850340642965
5fb26f723d8b23832ff835c6,crime,2,1.0,1,0.0,0.0
5fb26f723d8b23832ff835c6,finance,1,1.0,1,0.0,0.0
5fbbf3f438be4c025df6cdd4,crime,2,0.8960249510179927,1,0.0,0.08433491040281371
5fbbf3f438be4c025df6cdd4,finance,1,1.0,1,0.0,0.08433491040281371
5fbd9bcc54453f1b0b28d89a,crime,1,1.0,1,0.0,-0.11009637651263604
5fbd9bcc54453f1b0b28d89a,finance,2,1.0,1,0.0,-0.11009637651263604
5fbfa7490dcefd0251d79dff,crime,1,1.0,1,0.0,-0.047682231859013324
5fbfa7490dcefd0251d79dff,finance,2,1.0,1,0.0,-0.047682231859013324
5fd0c81fc79aef1882cbee94,crime,1,1.0,1,0.11076975512434228,0.05985488513594994
