utid,pid,experiment,difficulty,scenario,model_name,ground_truth,posterior_map,posterior_judgement,prior_judgement,prior_entropy,posterior_entropy_unsmoothed,posterior_entropy,model_specs
3-594abd98215cbd000146debc-dampened_3-generic_0,594abd98215cbd000146debc,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.   0.5  0.   1.   0.   0. ],[-1.  0.  0.  1.  0.  0.],[ 1.   0.5  0.5  0.5 -1.  -0.5],,13.93156857,2.29E-09,13.93156857,{'smoothing': 9.01337158e-13}
3-594abd98215cbd000146debc-finance_1-congruent,594abd98215cbd000146debc,experiment_3,congruent,finance,LC_discrete_&_1,[-0.5  0.   0.   0.  -1.  -0.5],[-0.5  0.   0.   0.  -1.   0. ],[-1.  -0.5  0.5  0.5 -0.5  0.5],[-0.5  0.   0.   0.  -1.  -0.5],13.93156857,5.00E-33,13.93156857,{'smoothing': 9.01337158e-13}
3-594abd98215cbd000146debc-pos_chain_3-generic_1,594abd98215cbd000146debc,experiment_3,generic_1,pos_chain,LC_discrete_&_1,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],[ 0.5 -0.5 -0.5 -0.5  1.   0.5],,13.93156857,1.62E-28,13.93156857,{'smoothing': 9.01337158e-13}
3-5acc65f668b65b00018db322-crime_1-incongruent,5acc65f668b65b00018db322,experiment_3,incongruent,crime,LC_discrete_&_1,[ 1.   0.  -1.   0.   0.5 -1. ],[ 1.   0.  -1.   0.   0.5 -1. ],[ 0.5  0.  -1.   0.   0.5  0. ],[-1.   0.5  1.  -1.   0.   0. ],13.93156857,7.46E-37,10.22660373,{'smoothing': 1.89712006}
3-5acc65f668b65b00018db322-dampened_1-generic_0,5acc65f668b65b00018db322,experiment_3,generic_0,dampened,LC_discrete_&_1,[ 1.  -0.5  0.   1.   0.   0. ],[ 1.  -0.5  0.   1.   0.   0. ],[0.5 0.5 0.  0.5 0.  0. ],,13.93156857,0.006187392,10.2273619,{'smoothing': 1.89712006}
3-5acc65f668b65b00018db322-finance_1-congruent,5acc65f668b65b00018db322,experiment_3,congruent,finance,LC_discrete_&_1,[-0.5  1.   0.   0.  -1.  -1. ],[-0.5  1.   0.   0.  -1.  -1. ],[-1.  1.  0.  0. -1. -1.],[-0.5  1.   0.   0.  -1.  -1. ],13.93156857,2.78E-13,10.22660373,{'smoothing': 1.89712006}
3-5acc65f668b65b00018db322-pos_chain_3-generic_1,5acc65f668b65b00018db322,experiment_3,generic_1,pos_chain,LC_discrete_&_1,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],[0.5 0.5 0.  1.  0.  0. ],,13.93156857,1.67E-10,10.22660373,{'smoothing': 1.89712006}
3-5b339152afe1d00001c6c509-crime_1-incongruent,5b339152afe1d00001c6c509,experiment_3,incongruent,crime,LC_discrete_&_1,[ 0.5  0.  -0.5 -0.5  0.  -0.5],[ 0.   0.  -0.5 -0.5  0.   0. ],[ 0.5 -0.5 -0.5 -0.5  0.  -0.5],[-0.5  0.   0.5 -0.5  0.  -0.5],13.93156857,2.80E-39,11.46836322,{'smoothing': 1.55381144}
3-5b339152afe1d00001c6c509-dampened_2-generic_0,5b339152afe1d00001c6c509,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.  -0.5  0.  -1.   0.   0. ],[-1.  -0.5  0.  -1.   0.   0. ],[-0.5  0.   0.  -0.5  0.   0. ],,13.93156857,4.18E-08,11.46836322,{'smoothing': 1.55381144}
3-5b339152afe1d00001c6c509-finance_1-congruent,5b339152afe1d00001c6c509,experiment_3,congruent,finance,LC_discrete_&_1,[ 0.   1.   0.   0.  -1.  -0.5],[ 0.   1.  -0.5  0.  -1.  -0.5],[ 0.   0.5  0.   0.  -1.  -0.5],[ 0.   1.   0.   0.  -1.  -0.5],13.93156857,2.48E-20,11.46836322,{'smoothing': 1.55381144}
3-5b339152afe1d00001c6c509-pos_chain_1-generic_1,5b339152afe1d00001c6c509,experiment_3,generic_1,pos_chain,LC_discrete_&_1,[1 0 0 1 0 0],[1. 0. 0. 1. 0. 0.],[1.  0.  0.  0.5 0.  0. ],,13.93156857,1.57E-06,11.46836328,{'smoothing': 1.55381144}
3-5b84a7ea4f38790001778d53-crime_1-incongruent,5b84a7ea4f38790001778d53,experiment_3,incongruent,crime,LC_discrete_&_1,[ 0.5  0.  -0.5 -0.5  0.5 -1. ],[ 0.5  0.  -0.5 -0.5  1.  -1. ],[ 1.  -0.5 -0.5 -0.5  0.5 -1. ],[-0.5  0.5  0.5 -1.   0.  -0.5],13.93156857,0.007302819,11.47016367,{'smoothing': 1.55346675}
3-5b84a7ea4f38790001778d53-dampened_3-generic_0,5b84a7ea4f38790001778d53,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.   0.5  0.   1.   0.   0. ],[-1.   0.5  0.   1.   0.   0. ],[-1.  0.  0.  1.  0.  0.],,13.93156857,3.04E-25,11.46951404,{'smoothing': 1.55346675}
3-5b84a7ea4f38790001778d53-finance_1-congruent,5b84a7ea4f38790001778d53,experiment_3,congruent,finance,LC_discrete_&_1,[-0.5  0.5  0.  -0.5 -1.  -1. ],[-0.5  0.5  0.5 -0.5 -1.  -1. ],[-1.   1.   0.  -0.5 -0.5 -0.5],[-0.5  0.5  0.  -0.5 -1.  -1. ],13.93156857,1.78E-07,11.46951404,{'smoothing': 1.55346675}
3-5b84a7ea4f38790001778d53-pos_chain_3-generic_1,5b84a7ea4f38790001778d53,experiment_3,generic_1,pos_chain,LC_discrete_&_1,[1 0 0 1 0 0],[1. 0. 0. 1. 0. 0.],[1.  0.5 1.  1.  0.  0. ],,13.93156857,1.91E-06,11.46951412,{'smoothing': 1.55346675}
3-5c018eb6067bbf00019ba43d-crime_0-congruent,5c018eb6067bbf00019ba43d,experiment_3,congruent,crime,LC_discrete_&_1,[-1.   0.   1.  -0.5  0.  -1. ],[-0.5  0.   1.  -0.5 -0.5 -0.5],[-1.   0.5  1.  -0.5 -0.5 -1. ],[-1.   0.   1.  -0.5  0.  -1. ],13.93156857,4.19E-14,8.72518684,{'smoothing': 2.27359755}
3-5c018eb6067bbf00019ba43d-dampened_2-generic_0,5c018eb6067bbf00019ba43d,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.  -0.5  0.  -1.   0.   0. ],[-1.  -0.5  0.  -1.   0.   0. ],[-1.   0.5  0.  -1.   0.   0. ],,13.93156857,7.59E-16,8.72518684,{'smoothing': 2.27359755}
3-5c018eb6067bbf00019ba43d-finance_0-incongruent,5c018eb6067bbf00019ba43d,experiment_3,incongruent,finance,LC_discrete_&_1,[ 0.  -1.  -0.5 -0.5  0.5  0. ],[ 0.  -1.  -0.5 -0.5  0.5  0. ],[ 0.   1.  -0.5  0.   0.5  0. ],[-0.5  0.5  0.   0.  -1.  -0.5],13.93156857,6.57E-10,8.72518684,{'smoothing': 2.27359755}
3-5c018eb6067bbf00019ba43d-pos_chain_2-generic_1,5c018eb6067bbf00019ba43d,experiment_3,generic_1,neg_chain,LC_discrete_&_1,[-1  0  0 -1  0  0],[-1.   0.5  0.  -1.   0.   0. ],[-1.   0.5  0.  -1.   0.   0. ],,13.93156857,8.94E-25,8.72518684,{'smoothing': 2.27359755}
3-5c06fc4918ac7e00016bf76d-crime_1-incongruent,5c06fc4918ac7e00016bf76d,experiment_3,incongruent,crime,LC_discrete_&_1,[ 1.   0.  -1.  -1.   0.5 -0.5],[ 1.   0.  -1.  -1.   0.5  0. ],[ 1.  0. -1. -1.  0. -1.],[-1.   0.5  1.  -0.5  0.  -1. ],13.93156857,0.999738948,8.616688471,{'smoothing': 2.48490664}
3-5c06fc4918ac7e00016bf76d-dampened_2-generic_0,5c06fc4918ac7e00016bf76d,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.  -0.5  0.  -1.   0.   0. ],[-1.  0.  0. -1.  0.  0.],[-1.  0.  0. -1.  0.  0.],,13.93156857,7.29E-11,7.867668786,{'smoothing': 2.48490664}
3-5c06fc4918ac7e00016bf76d-finance_1-congruent,5c06fc4918ac7e00016bf76d,experiment_3,congruent,finance,LC_discrete_&_1,[ 0.   1.   0.   0.  -0.5  1. ],[ 0.   1.   0.   0.  -0.5  1. ],[ 0.  1.  0.  0. -1.  1.],[ 0.   1.   0.   0.  -0.5  1. ],13.93156857,3.19E-12,7.867668786,{'smoothing': 2.48490664}
3-5c06fc4918ac7e00016bf76d-pos_chain_1-generic_1,5c06fc4918ac7e00016bf76d,experiment_3,generic_1,pos_chain,LC_discrete_&_1,[1 0 0 1 0 0],[1. 0. 0. 1. 0. 0.],[1. 0. 0. 1. 0. 0.],,13.93156857,5.78E-10,7.867668786,{'smoothing': 2.48490664}
3-5c17c149f596b100011ca8b8-crime_0-congruent,5c17c149f596b100011ca8b8,experiment_3,congruent,crime,LC_discrete_&_1,[-0.5  1.   0.5 -0.5  0.   0. ],[-0.5  1.   0.5 -1.   0.   0. ],[-0.5  0.5  0.5 -0.5 -0.5  0. ],[-0.5  1.   0.5 -0.5  0.   0. ],13.93156857,1.66E-10,10.87521414,{'smoothing': 1.72386948}
3-5c17c149f596b100011ca8b8-dampened_2-generic_0,5c17c149f596b100011ca8b8,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.  -0.5  0.  -1.   0.   0. ],[-1.  0.  0. -1.  0.  0.],[-1.  -0.5  1.  -1.   0.   0. ],,13.93156857,3.45E-11,10.87521414,{'smoothing': 1.72386948}
3-5c17c149f596b100011ca8b8-finance_0-incongruent,5c17c149f596b100011ca8b8,experiment_3,incongruent,finance,LC_discrete_&_1,[ 0.  -1.   0.  -0.5  1.   0. ],[ 0.  -1.   0.  -0.5  1.   0. ],[-0.5  0.   0.   0.   0.5  0. ],[ 0.   1.   0.   0.  -1.  -0.5],13.93156857,1.62E-06,10.87521423,{'smoothing': 1.72386948}
3-5c17c149f596b100011ca8b8-pos_chain_2-generic_1,5c17c149f596b100011ca8b8,experiment_3,generic_1,neg_chain,LC_discrete_&_1,[-1  0  0 -1  0  0],[-1.   0.5  0.  -1.   0.  -0.5],[-1.   0.5  0.  -1.   0.   0. ],,13.93156857,0.000157382,10.87522536,{'smoothing': 1.72386948}
