participant,scenario,difficulty,accuracy,actions,normative_error,lc_error
56cb8858edf8da000b6df354,crime,1,0.886039423540362,1,0.0,-0.080582296402538
56cb8858edf8da000b6df354,finance,2,0.8082587527881574,1,0.0,-0.080582296402538
571de12713b1b70012be47f6,crime,2,0.7598077692923693,1,0.0,0.03784986727001871
571de12713b1b70012be47f6,finance,1,0.8694417580332267,1,0.0,0.03784986727001871
572f526c3c27e7000e0b8aaa,crime,1,0.8492443277111181,1,0.0,0.08362420100070922
572f526c3c27e7000e0b8aaa,finance,2,0.8327515979985818,1,0.0,0.08362420100070922
5831960ab232860001b110dc,crime,2,0.7508635604387801,1,0.0,-0.08944271909999157
5831960ab232860001b110dc,finance,1,0.8,1,0.0,-0.08944271909999157
594abd98215cbd000146debc,crime,2,0.757464374963667,1,0.1618412824949389,-0.086386842558136
594abd98215cbd000146debc,finance,1,0.7883963152424205,1,0.1618412824949389,-0.086386842558136
5acc65f668b65b00018db322,crime,2,0.7193082138931053,1,0.0,0.05699007807649592
5acc65f668b65b00018db322,finance,1,0.7193082138931053,1,0.0,0.05699007807649592
5b339152afe1d00001c6c509,crime,2,0.7388835160664533,1,0.0,-0.08304547985374
5b339152afe1d00001c6c509,finance,1,0.8143046618229481,1,0.0,-0.08304547985374
5b84a7ea4f38790001778d53,crime,2,0.8377785788692375,1,0.0,0.05145166600642026
5b84a7ea4f38790001778d53,finance,1,0.792768763753932,1,0.0,0.05145166600642026
5c018eb6067bbf00019ba43d,crime,1,0.8259223440443022,1,0.0,-0.05121577149193912
5c018eb6067bbf00019ba43d,finance,2,0.8327515979985818,1,0.0,-0.05121577149193912
5c06fc4918ac7e00016bf76d,crime,2,0.7855774930324411,1,0.0,0.13130643285972254
5c06fc4918ac7e00016bf76d,finance,1,0.8143046618229481,1,0.0,0.13130643285972254
5c17c149f596b100011ca8b8,crime,1,0.9163757989992908,1,0.0,0.08304547985374
5c17c149f596b100011ca8b8,finance,2,0.8143046618229481,1,0.0,0.08304547985374
5c6400cbcb937d00012d8866,crime,1,0.8679323640511565,1,0.0,-0.06611172777446872
5c6400cbcb937d00012d8866,finance,2,0.7883963152424205,1,0.0,-0.06611172777446872
