participant,scenario,difficulty,accuracy,actions,normative_error,lc_error
576d8e821a48240001867c54,crime,2,1.0,1,0.0,-0.08703882797784879
576d8e821a48240001867c54,finance,1,1.0,1,0.0,-0.08703882797784879
57dd3b0e91b7fc0001493db9,crime,1,0.9157848078933482,1,0.0,-0.08421519210665185
57dd3b0e91b7fc0001493db9,finance,2,0.8196660730665135,1,0.0,-0.08421519210665185
57fe48c390de420001673796,crime,2,1.0,1,0.0,-0.08362420100070922
57fe48c390de420001673796,finance,1,0.8817375208021835,1,0.0,-0.08362420100070922
5ab15ab4c42b630001cd36fb,crime,1,1.0,1,0.0,0.161164592805076
5ab15ab4c42b630001cd36fb,finance,2,1.0,1,0.0,0.161164592805076
5abc0d68436f550001ff83ff,crime,2,1.0,1,0.0,0.05438252825946066
5abc0d68436f550001ff83ff,finance,1,1.0,1,0.0,0.05438252825946066
5b06c34ed424fd0001eebda1,crime,2,1.0,1,0.0,0.08703882797784879
5b06c34ed424fd0001eebda1,finance,1,1.0,1,0.0,0.08703882797784879
5b1e7a55c813a60001480313,crime,2,1.0,1,0.0,0.02132703602435071
5b1e7a55c813a60001480313,finance,1,0.8735088935932649,1,0.0,0.02132703602435071
5b58d79b71a4100001555c56,crime,1,1.0,1,0.0,-0.08991628846508037
5b58d79b71a4100001555c56,finance,2,1.0,1,0.0,-0.08991628846508037
5b7af290db11320001c3ff1d,crime,1,1.0,1,0.0,0.0022562514037424153
5b7af290db11320001c3ff1d,finance,2,1.0,1,0.0,0.0022562514037424153
5b8c8e7d0c740e00019d55c3,crime,2,1.0,1,0.0,0.09016696346674324
5b8c8e7d0c740e00019d55c3,finance,1,1.0,1,0.0,0.09016696346674324
5ba57e0438803d0001264be3,crime,2,1.0,1,0.0,0.05458938915617251
5ba57e0438803d0001264be3,finance,1,1.0,1,0.0,0.05458938915617251
5bb511c6689fc5000149c703,crime,2,1.0,1,0.0,0.0039933481241087865
5bb511c6689fc5000149c703,finance,1,1.0,1,0.0,0.0039933481241087865
5bb64eb80b5da70001c7cfca,crime,1,1.0,1,0.0,0.006875093731842474
5bb64eb80b5da70001c7cfca,finance,2,0.9188892894346188,1,0.0,0.006875093731842474
5bc1c9dd9fffb200019bebe1,crime,1,0.9105572809000084,1,0.0,0.028819760097824942
5bc1c9dd9fffb200019bebe1,finance,2,1.0,1,0.0,0.028819760097824942
5bc1f0157870b900012dcb8a,crime,2,1.0,1,0.0,-0.0076214371414075055
5bc1f0157870b900012dcb8a,finance,1,1.0,1,0.0,-0.0076214371414075055
5bf1ecfcaf38d100016c1171,crime,2,1.0,1,0.0,0.09016696346674324
5bf1ecfcaf38d100016c1171,finance,1,1.0,1,0.0,0.09016696346674324
5c0e104111d18f0001995175,crime,1,0.9246221638555592,1,-0.10660035817780522,-0.06436882973074587
5c0e104111d18f0001995175,finance,2,1.0,1,-0.10660035817780522,-0.06436882973074587
5c3885dcf5ebd5000184defb,crime,1,1.0,1,0.0,0.08362420100070922
5c3885dcf5ebd5000184defb,finance,2,1.0,1,0.0,0.08362420100070922
5c7e388fffd1190017be7f83,crime,1,1.0,1,0.0,0.0
5c7e388fffd1190017be7f83,finance,2,1.0,1,0.0,0.0
5c88d569d47e6a0001a6192a,crime,1,0.9188892894346188,1,0.0,-0.000528414162843216
5c88d569d47e6a0001a6192a,finance,2,1.0,1,0.0,-0.000528414162843216
5cb450df19eba3001270131f,crime,1,1.0,1,0.0,-0.0005787211469692188
5cb450df19eba3001270131f,finance,2,1.0,1,0.0,-0.0005787211469692188
5d00bb3b51669b000136a986,crime,1,1.0,1,0.07784989441615242,0.11009637651263604
