,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy
2875,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,CA,1.0,0.9264785377906193
2887,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,CA,0.8347050987731784,0.7158427519578168
2899,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,CA,0.8984653834866381,0.5561873177007027
2923,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,CA,1.0,0.7148670257438995
2935,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,CA,0.7920499020359855,0.6893696279013022
2947,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,CA,0.8892302448756577,0.7190242565254918
2971,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,CA,0.8960249510179927,0.9319586182560229
2983,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,CA,0.7855774930324411,0.7969307669732761
2995,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,CA,0.889903623487364,0.8199099324437007
3031,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,CA,0.8726570920065974,0.8044204353205106
3043,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,CA,0.9237507148336976,1.0
3055,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,CA,0.8892302448756577,0.8809017331649173
3067,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,CA,0.7846125524146785,0.81004612605476
3079,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,CA,0.8143046618229481,0.8571428571428572
