model_name,AIC group,Tau,Attention,Change memory,Tau Prior,CE threshold,Strength threshold,Guess,AIC ind.,Part best fit prev,Part best fit new
Baseline,11395.0,,,,,,,,96.57,10,10
normative,10187.0,7.531,,,,,,,89.05,,
normative w. prior,10157.0,7.963,,,116.595,,,,88.81,2,2
LC basic,8980.0,1.699,,,,,,,76.39,3,5
LC basic w. prior,8944.0,1.706,,,313.49,,,,75.69,1,3
CEA basic,9604.0,,,,,0.643,,0.47,78.48,9,
CEA strength sensitive,9437.0,,,,,0.646,48.193,0.454,74.34,24,27
Temporal LC,9535.0,1.54,,,,,,,80.84,,1
Temporal LC w. prior,9410.0,1.546,,,490.463,,,,79.26,,3
TF LC att.,8055.0,2.071,0.289,,,,,,65.8,51,
TF LC att. w. prior,7983.0,2.074,0.38,,84.143,,,,66.41,18,
TF LC,8053.0,2.084,,,,,,,67.43,,28
TF LC w. prior,8023.0,2.06,,,188.239,,,,65.23,,39
