,BIC group,Tau,Attention,Change memory,Tau Prior,CE threshold,Strength threshold,Guess,BIC ind.,Part best fit prev,Part best fit new
Baseline,,,,,,,,,77.25,3,3
normative,,1.652,,,,,,,61.02,21,17
normative w. prior,,1.66,,,5.112,,,,62.26,,
LC basic,,1.559,,,,,,,62.31,12,10
LC basic w. prior,,1.662,,,347.165,,,,62.11,1,1
CEA basic,,,,,,0.617,,0.458,64.95,7,
CEA strength sensitive,,,,,,0.52,27.137,0.459,65.93,12,15
Temporal LC,,2.665,,,,,,,64.41,,6
Temporal LC w. prior,,3.847,,,322.217,,,,63.56,,6
TF LC att.,,3.752,0.517,,,,,,55.64,40,
TF LC att. w. prior,,4.382,0.516,,250.024,,,,54.98,25,
TF LC,,3.212,,,,,,,55.67,,32
TF LC w. prior,,4.304,,,288.858,,,,54.32,,31
